,time,thscode,ths_the_new_csrc_industry_stock,ths_china_securities_industry_stock,ths_avg_held_num_growth_q_stock,ths_avg_held_num_growth_6m_stock,ths_total_current_assets_stock,ths_sq_operating_total_revenue_stock,ths_sq_np_stock,ths_total_profit_to_oi_ttm_stock,ths_avg_price_stock,ths_vol_stock,ths_inflow_vol_stock,ths_outflow_vol_stock,ths_the_amac_index_stock,ths_ygzs_new_stock,ths_sm_num_stock,ths_techcore_num_stock,ths_total_shares_stock,ths_total_float_shares_stock,ths_float_ashare_to_total_shares_stock,ths_hk_listed_stock_ratio_stock,ths_overseas_listed_shares_ratio_stock,ths_top10_hlolder_held_ratio_stock,ths_top10_float_hlolder_held_ratio_stock,ths_qfii_held_ratio_stock,ths_fund_held_ratio_stock,ths_broker_held_ratio_stock,ths_accum_pledge_num_ratio_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_roe_avg_by_ths_stock,ths_net_interest_of_ta_stock,ths_gross_selling_rate_stock,ths_np_to_revenue_stock,ths_rad_cost_to_revenue_stock,ths_bisic_eps_yoy_stock,ths_operating_revenue_yoy_stock,ths_np_yoy_stock,ths_net_assets_yoy_stock,ths_rad_amt_yoy_stock,ths_asset_liab_ratio_stock,ths_current_asset_turnover_stock,ths_fixed_asset_turnover_ratio_stock,ths_operating_capital_turnover_stock,ths_dividend_benchmark_shares_stock,ths_dividend_ps_before_tax_stock,ths_dividend_ratio_stock,ths_turnover_ratio_stock,ths_net_infow_stock,ths_main_inflow_rate_stock,ths_int_illegality_num_stock,ths_int_illegality_amt_stock,ths_float_holder_held_mv_stock,ths_org_holder_type_stock,ths_fixed_asset_sum_pit_stock,ths_total_revenue_growth_ny_stock,ths_operating_profit_growth_ny_stock,ths_net_profit_growth_ny_stock,ths_total_assets_growth_ny_stock,ths_holder_equity_growth_ny_stock,ths_net_asset_yield_growth_ny_stock,ths_open_price_stock,ths_close_price_stock,ths_low_stock,ths_high_price_stock,year,ths_latest_subject_rating_stock,ths_revenue_pp_stock,ths_sm_annual_total_salary_stock,ths_postgraduate_num_ratio_stock,ths_tech_num_ratio_stock,ths_manage_staff_ratio_stock,mean_score,std_score,quater_score,quater3_score
30,2019-01-16,300750.SZ,制造业,,,,,,,14.200045794297,76.830010023847,2573862.0,225600.0,379850.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,1.1847807826061,-124829.0,-4.8498715160331,,,576842385.68,一般法人,,,,,,,,76.9,76.67,76.41,77.2,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
31,2019-01-17,300750.SZ,制造业,,,,,,,14.200045794297,77.10037995498,3718809.0,544543.0,449816.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,1.7118141677302,204711.0,5.5047462776389,,,576767148.64,一般法人,,,,,,,,76.95,76.66,76.41,77.69,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
32,2019-01-18,300750.SZ,制造业,,,,,,,14.200045794297,75.154177257832,6503927.0,965324.0,1632702.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.9938387221508,-1063840.0,-16.356887154484,,,567287281.6,一般法人,,,,,,,,77.16,75.4,74.0,77.16,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
33,2019-01-21,300750.SZ,制造业,,,,,,,14.200045794297,74.824853439859,5241159.0,529709.0,1096171.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.412570861135,-444341.0,-8.4779149039363,,,566083488.96,一般法人,,,,,,,,75.03,75.24,74.26,75.63,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
34,2019-01-22,300750.SZ,制造业,,,,,,,14.200045794297,74.771224614674,4258858.0,463541.0,606184.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,1.9604054585087,-231823.0,-5.4433136770468,,,558785496.08,一般法人,,,,,,,,75.0,74.27,74.03,75.67,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
35,2019-01-23,300750.SZ,制造业,,,,,,,14.200045794297,75.149282860827,4884798.0,754349.0,699257.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.2485334479131,605198.0,12.389417126358,,,567588229.76,一般法人,,,,,,,,74.26,75.44,74.01,75.66,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
36,2019-01-24,300750.SZ,制造业,,,,,,,14.200045794297,75.374808064831,3798418.0,537719.0,588277.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,1.7484591834002,-120187.0,-3.1641330680299,,,565556829.68,一般法人,,,,,,,,75.0,75.17,74.7,75.86,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
37,2019-01-25,300750.SZ,制造业,,,,,,,14.200045794297,77.578177098343,9118956.0,2760173.0,1125595.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,4.1975691883365,1801183.0,19.752074689252,,,582635637.76,一般法人,,,,,,,,75.64,77.44,75.17,78.79,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
38,2019-01-28,300750.SZ,制造业,,,,,,,14.200045794297,76.882218307919,4628893.0,653496.0,1209748.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.1307371844876,-820969.0,-17.735752371031,,,572328163.28,一般法人,,,,,,,,78.1,76.07,76.02,78.26,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
39,2019-01-29,300750.SZ,制造业,,,,,,,14.200045794297,75.506223357924,5236313.0,687703.0,941934.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.4103401868905,-209454.0,-4.0000282641622,,,576917622.72,一般法人,,,,,,,,76.26,76.68,74.1,77.39,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
